id,title,budget,revenue,release_date,vote_average,vote_count,popularity,original_language,genres
1339713,Обсессия,750000,404401180,2026-05-13,8.261,2311,744.7353,en,"ужасы, триллер"
1084244,История игрушек 5,250000000,764348690,2026-06-17,7.4,523,632.7407,en,"мультфильм, семейный, комедия, приключения"
1275779,День разоблачения,115000000,216600000,2026-06-10,6.691,825,515.4124,en,"фантастика, триллер"
83533,Аватар: Пламя и пепел,350000000,1490477656,2025-12-17,7.62,3708,110.4297,en,"фантастика, приключения, фэнтези"
1081003,Супергёрл,175000000,102010243,2026-06-24,6.2,399,109.8346,en,"боевик, приключения, фантастика"
1304313,Мумия,22000000,90552113,2026-04-15,8.003,2130,107.8647,en,"ужасы, детектив"
1228710,Мандалорец и Грогу,165000000,336000909,2026-05-20,6.679,560,99.2808,en,"боевик, приключения, фантастика"
1297842,Goat: Мечтай по-крупному,90000000,193566330,2026-02-11,8.113,880,52.0324,en,"мультфильм, комедия, семейный"
634649,Человек-паук: Нет пути домой,200000000,2019206586,2021-12-15,7.9,22173,51.1037,en,"боевик, приключения, фантастика"
27205,Начало,160000000,839030630,2010-07-15,8.372,39487,47.1432,en,"боевик, фантастика, приключения"
454639,Властелины вселенной,200000000,110540345,2026-06-03,6.937,379,46.7813,en,"боевик, фэнтези, фантастика"
1110034,Кракен,1000000,14329678,2026-02-06,6.4,196,48.2486,no,"ужасы, боевик, триллер"
1368166,Горничная,35000000,399644671,2025-12-18,7.264,2569,45.1068,en,"детектив, триллер"
10193,История игрушек: Большой побег,200000000,1067316101,2010-06-16,7.812,15892,44.9247,en,"мультфильм, семейный, комедия"
840464,Гренландия 2: Миграция,90000000,44856736,2026-01-07,6.438,1295,42.4932,en,"приключения, триллер, фантастика"
350,Дьявол носит Prada,35000000,326588371,2006-06-29,7.438,13852,41.2355,en,"драма, комедия"
1242898,Хищник: Планета смерти,105000000,184500000,2025-11-05,7.819,3239,43.1475,en,"боевик, фантастика, приключения"
299536,Мстители: Война бесконечности,300000000,2052415039,2018-04-25,8.238,32224,44.864,en,"приключения, боевик, фантастика"
120,Властелин колец: братство кольца,93000000,871368364,2001-12-18,8.437,27795,40.1502,en,"приключения, фэнтези, боевик"
9671,Крокодил Данди,5000000,328203506,1986-09-26,6.445,2131,40.803,en,"приключения, комедия"
1430077,Хокум,5000000,23563104,2026-04-29,6.9,484,40.5065,en,ужасы
603,Матрица,63000000,463517383,1999-03-31,8.25,28130,45.5132,en,"боевик, фантастика"
1290821,Убежище,50000000,53933639,2026-01-28,7.717,1421,43.8493,en,"боевик, криминал, триллер"
1061474,Супермен,225000000,618723803,2025-07-09,7.334,5005,38.7468,en,"фантастика, приключения, боевик"
238,Крёстный отец,6000000,245066411,1972-03-14,8.7,23124,41.6182,en,"драма, криминал"
803796,Кейпоп-охотницы на демонов,100000000,24619953,2025-06-20,8.015,2959,38.9562,en,"фэнтези, музыка, комедия, мультфильм"
155,Тёмный рыцарь,185000000,1004558444,2008-07-16,8.532,36034,41.5566,en,"боевик, криминал, триллер"
803796,Кейпоп-охотницы на демонов,100000000,24619953,2025-06-20,8.015,2959,38.9562,en,"фэнтези, музыка, комедия, мультфильм"
1171145,Ограбление в Лос-Анджелесе,90000000,72900246,2026-02-11,7.006,1147,38.6063,en,"криминал, триллер"
1340206,Настройщик,7000000,10866039,2026-05-21,7.145,148,33.9352,en,"криминал, драма, триллер"
1061474,Супермен,225000000,618723803,2025-07-09,7.334,5005,38.7468,en,"фантастика, приключения, боевик"
1234821,Мир юрского периода: Возрождение,180000000,869146189,2025-06-23,6.271,3491,38.4838,en,"фантастика, приключения, боевик"
129,Унесённые призраками,19000000,274925095,2001-07-20,8.535,18498,38.1207,ja,"мультфильм, семейный, фэнтези"
1266127,Я иду искать 2,14000000,42212563,2026-03-19,7.637,1213,38.1033,en,"триллер, ужасы, комедия"
680,Криминальное чтиво,8000000,213928762,1994-09-10,8.482,30376,37.3786,en,"триллер, криминал, комедия"
77338,1+1,13000000,426590315,2011-11-02,8.272,18522,37.08,fr,"драма, комедия"
597,Титаник,200000000,2264162353,1997-12-18,7.902,27303,36.8268,en,"драма, мелодрама"
976893,Идеальные дни,14000000,24094016,2023-11-10,7.798,1945,35.7969,ja,драма
24428,Мстители,220000000,1518815515,2012-04-25,8.053,38652,36.3078,en,"фантастика, боевик, приключения"
950387,Minecraft в кино,150000000,960387780,2025-03-31,6.257,3087,33.8955,en,"семейный, фэнтези, комедия, приключения"
76600,Аватар: Путь воды,460000000,2334484620,2022-12-14,7.594,14283,36.0483,en,"боевик, приключения, фантастика"
1305672,抓特务,12000000,16300000,2026-06-19,6.2,5,35.8009,zh,"история, драма"
976893,Идеальные дни,14000000,24094016,2023-11-10,7.798,1945,35.7969,ja,драма
1184918,Дикий робот,78000000,331982078,2024-09-12,8.313,6233,35.4078,en,"семейный, мультфильм, фантастика, приключения"
671,Гарри Поттер и философский камень,125000000,976475550,2001-11-16,7.9,29751,34.987,en,"приключения, фэнтези"
27449,Мордашка,187000,451000,1933-07-13,7.2,154,34.8694,en,драма
550,Бойцовский клуб,63000000,100853753,1999-10-15,8.438,32277,34.7642,en,"драма, триллер"
1022789,Головоломка 2,200000000,1698863816,2024-06-11,7.545,6768,34.6383,en,"мультфильм, приключения, комедия, семейный"
39254,Живая сталь,110000000,299300000,2011-09-28,7.117,9282,33.9883,en,"боевик, фантастика, драма"
1340206,Настройщик,7000000,10866039,2026-05-21,7.145,148,33.9352,en,"криминал, драма, триллер"
1246049,Дракула,52000000,42404858,2025-07-30,7.192,1326,33.9302,fr,"ужасы, фэнтези, мелодрама"
950387,Minecraft в кино,150000000,960387780,2025-03-31,6.257,3087,33.8955,en,"семейный, фэнтези, комедия, приключения"
557,Человек-паук,139000000,821708551,2002-05-01,7.334,20806,33.724,en,"боевик, фантастика"
585,Корпорация монстров,115000000,579700000,2001-11-01,7.9,19911,33.5057,en,"мультфильм, комедия, семейный, фэнтези"
1198994,На помощь!,40000000,94041481,2026-01-22,7.044,1904,33.4996,en,"ужасы, триллер, комедия"
19995,Аватар,237000000,2923706026,2009-12-16,7.608,34163,33.2697,en,"фантастика, боевик, приключения"
808,Шрэк,60000000,489676241,2001-05-18,7.769,18896,32.3975,en,"мультфильм, комедия, фэнтези, приключения, семейный"
438148,Миньоны: Грювитация,85000000,940203765,2022-06-29,7.3,4043,32.0741,en,"мультфильм, комедия, фантастика, криминал, семейный"
519182,Гадкий я 4,100000000,972021410,2024-06-20,7.0,3249,31.8859,en,"мультфильм, комедия, боевик, фантастика, семейный"
1159559,Крик 7,45000000,213835967,2026-02-25,6.197,1119,31.8016,en,"ужасы, детектив, криминал"
496243,Паразиты,11363000,257591776,2019-05-30,8.492,20832,31.794,ko,"комедия, триллер, драма"
1325734,Вот это драма!,28000000,131893162,2026-04-01,6.9,1141,31.7363,en,"мелодрама, комедия, драма"
14836,Коралина в Стране Кошмаров,60000000,185860104,2009-02-05,7.919,9102,31.6804,en,"мультфильм, семейный, фэнтези"
533535,Дэдпул и Росомаха,200000000,1338073645,2024-07-24,7.576,8879,31.5711,en,"боевик, комедия, фантастика"
1272837,28 лет спустя: Храм костей,63000000,58522222,2026-01-14,7.12,1379,31.3283,en,"ужасы, триллер, фантастика"
1284465,Смерть Робин Гуда,25000000,3200000,2026-06-18,6.627,59,30.8138,en,"приключения, драма, триллер, боевик"
1318413,Давление,30000000,18338606,2026-05-25,7.541,122,30.1583,en,"триллер, история, военный"
1233413,Грешники,100000000,370000000,2025-04-16,7.5,4742,30.0851,en,"ужасы, боевик, триллер"
429,"Хороший, плохой, злой",1200000,38900000,1966-12-23,8.467,9731,29.5237,it,вестерн
1241982,Моана 2,150000000,1059242164,2024-11-21,7.005,3125,29.8519,en,"приключения, мультфильм, комедия, семейный, фэнтези"
769,Славные парни,25000000,47072327,1990-09-12,8.454,14473,27.2413,en,"драма, криминал"
1218925,Человек-бензопила. Фильм: История Резе,4100000,191400000,2025-09-19,8.458,992,27.4156,ja,"мультфильм, боевик, мелодрама, фэнтези"
335984,Бегущий по лезвию 2049,150000000,259239658,2017-10-04,7.596,15265,27.2178,en,"фантастика, драма"
1308767,Молодой Вашингтон,20000000,20847688,2026-07-02,8.6,18,28.718,en,"история, боевик, приключения, военный"
1168190,Опасный дуэт,78500000,89000000,2026-01-28,7.05,1123,28.1994,en,"боевик, комедия, криминал, детектив"
1318413,Давление,30000000,18338606,2026-05-25,7.541,122,30.1583,en,"триллер, история, военный"
575265,Миссия невыполнима: Финальная расплата,400000000,598767057,2025-05-17,7.171,2917,26.529,en,"боевик, триллер, приключения"
1239134,Дом с привидениями,14000000,20000000,2026-04-16,5.45,50,24.3475,hi,"ужасы, комедия"
569094,Человек-паук: Паутина вселенных,100000000,690897910,2023-05-31,8.339,8754,28.4408,en,"мультфильм, боевик, приключения, фантастика"
1367220,Каруппа,16000000,3345079,2026-05-14,6.6,21,27.0451,ta,"боевик, фэнтези"
497,Зелёная миля,60000000,286801374,1999-12-10,8.506,19401,29.5859,en,"фэнтези, драма, криминал"
911430,F1,300000000,634142436,2025-06-25,7.811,4210,27.1549,en,"боевик, драма"
22,Пираты Карибского моря: Проклятие Чёрной жемчужины,140000000,655011224,2003-07-09,7.8,22382,26.481,en,"приключения, фэнтези, боевик"
425274,Иллюзия обмана 3,90000000,243700000,2025-11-12,6.494,1622,25.09,en,"криминал, триллер"
1091,Нечто,15000000,19629760,1982-06-25,8.1,8015,24.8473,en,"ужасы, детектив, фантастика"
1038392,Заклятие 4: Последний обряд,55000000,499256445,2025-09-03,6.948,1941,26.5479,en,ужасы
438631,Дюна,165000000,410668500,2021-09-15,7.781,15048,28.7517,en,"фантастика, приключения"
13,Форрест Гамп,55000000,677387716,1994-06-23,8.464,29923,28.4582,en,"комедия, драма, мелодрама"
1087192,Как приручить дракона,150000000,636351148,2025-06-06,7.933,2928,28.0864,en,"фэнтези, семейный, боевик, приключения"
855,Чёрный ястреб,92000000,172989651,2001-12-28,7.394,6410,26.139,en,"боевик, военный, история"
121,Властелин колец: две крепости,79000000,926287400,2002-12-18,8.422,24081,26.4626,en,"приключения, фэнтези, боевик"
346698,Барби,145000000,1447138421,2023-07-19,6.918,11206,24.7185,en,"комедия, приключения, фэнтези"
1038392,Заклятие 4: Последний обряд,55000000,499256445,2025-09-03,6.948,1941,26.5479,en,ужасы
575265,Миссия невыполнима: Финальная расплата,400000000,598767057,2025-05-17,7.171,2917,26.529,en,"боевик, триллер, приключения"
22,Пираты Карибского моря: Проклятие Чёрной жемчужины,140000000,655011224,2003-07-09,7.8,22382,26.481,en,"приключения, фэнтези, боевик"
121,Властелин колец: две крепости,79000000,926287400,2002-12-18,8.422,24081,26.4626,en,"приключения, фэнтези, боевик"
228150,Ярость,68000000,211817906,2014-10-15,7.5,12984,26.2407,en,"военный, драма, боевик"
315635,Человек-паук: Возвращение домой,175000000,880978185,2017-07-05,7.3,23286,26.1741,en,"боевик, приключения, фантастика"
855,Чёрный ястреб,92000000,172989651,2001-12-28,7.394,6410,26.139,en,"боевик, военный, история"
872585,Оппенгеймер,100000000,952000000,2023-07-19,8.026,11944,25.9917,en,"драма, история"
8587,Король Лев,45000000,763455561,1994-06-15,8.254,19798,25.9911,en,"мультфильм, семейный, драма"
807,Семь,33000000,327311859,1995-09-22,8.382,23264,25.8777,en,"криминал, детектив, триллер"
502356,Братья Супер Марио в кино,100000000,1360879735,2023-04-05,7.603,10866,25.7559,en,"семейный, комедия, приключения, фэнтези, мультфильм"
269149,Зверополис,150000000,1025521689,2016-02-11,7.765,18231,25.6182,en,"мультфильм, приключения, семейный, комедия"
933260,Субстанция,17500000,77316812,2024-09-07,7.1,6138,25.581,en,"ужасы, фантастика, триллер"
424,Список Шиндлера,22000000,321365567,1993-12-15,8.57,17578,25.4754,en,"драма, история, военный"
637,Жизнь прекрасна,20000000,230098753,1997-12-20,8.438,14061,25.1439,it,"комедия, драма"
425274,Иллюзия обмана 3,90000000,243700000,2025-11-12,6.494,1622,25.09,en,"криминал, триллер"
1091,Нечто,15000000,19629760,1982-06-25,8.1,8015,24.8473,en,"ужасы, детектив, фантастика"
389,12 разгневанных мужчин,397751,4360000,1957-04-10,8.565,10095,24.7305,en,драма
346698,Барби,145000000,1447138421,2023-07-19,6.918,11206,24.7185,en,"комедия, приключения, фэнтези"
98,Гладиатор,103000000,465516248,2000-05-04,8.227,21037,24.6731,en,"боевик, драма, приключения"
